target_rabi_mhz,experimental_rabi_mhz,detuning_mhz,experimental_excited_probability,simulated_total_excited_probability,experiment_minus_simulation
5.0,5.040504356924368,-0.115,0.637,0.5157637754607853,0.12123622453921468
5.0,5.040504356924368,-0.11,0.642,0.5115415213769691,0.13045847862303095
5.0,5.040504356924368,-0.105,0.601,0.5093411266672792,0.09165887333272082
5.0,5.040504356924368,-0.1,0.629,0.5071407319575892,0.12185926804241076
5.0,5.040504356924368,-0.095,0.612,0.5049403372478992,0.10705966275210077
5.0,5.040504356924368,-0.09,0.646,0.5038867625443649,0.1421132374556351
5.0,5.040504356924368,-0.085,0.628,0.504808266740321,0.12319173325967903
5.0,5.040504356924368,-0.08,0.621,0.5057297709362769,0.11527022906372308
5.0,5.040504356924368,-0.075,0.615,0.506651275132233,0.10834872486776703
5.0,5.040504356924368,-0.07,0.613,0.505990161605205,0.10700983839479494
5.0,5.040504356924368,-0.065,0.636,0.5013725037707176,0.13462749622928238
5.0,5.040504356924368,-0.06,0.589,0.49675484593623015,0.09224515406376982
5.0,5.040504356924368,-0.055,0.582,0.49213718810174273,0.08986281189825723
5.0,5.040504356924368,-0.05,0.575,0.48507157849871646,0.0899284215012835
5.0,5.040504356924368,-0.045,0.57,0.4684589569983893,0.10154104300161065
5.0,5.040504356924368,-0.04,0.562,0.45184633549806213,0.11015366450193792
5.0,5.040504356924368,-0.035,0.532,0.43523371399773503,0.096766286002265
5.0,5.040504356924368,-0.03,0.523,0.41842891604444704,0.10457108395555298
5.0,5.040504356924368,-0.025,0.511,0.40024685351160644,0.11075314648839357
5.0,5.040504356924368,-0.02,0.46,0.38206479097876583,0.07793520902123419
5.0,5.040504356924368,-0.015,0.483,0.3638827284459253,0.1191172715540747
5.0,5.040504356924368,-0.01,0.45,0.3464178631481541,0.10358213685184592
5.0,5.040504356924368,-0.005,0.436,0.34580713287451326,0.09019286712548674
5.0,5.040504356924368,0.0,0.453,0.3451964026008725,0.10780359739912754
5.0,5.040504356924368,0.005,0.425,0.3445856723272317,0.0804143276727683
5.0,5.040504356924368,0.01,0.46,0.34397494205359086,0.11602505794640916
5.0,5.040504356924368,0.015,0.44,0.3608252558711595,0.07917474412884051
5.0,5.040504356924368,0.02,0.438,0.3784185928415456,0.05958140715845439
5.0,5.040504356924368,0.025,0.485,0.39601192981193173,0.08898807018806826
5.0,5.040504356924368,0.03,0.511,0.41360526678231785,0.09739473321768216
5.0,5.040504356924368,0.035,0.513,0.4307742833069136,0.08222571669308643
5.0,5.040504356924368,0.04,0.519,0.4478840923274455,0.07111590767255449
5.0,5.040504356924368,0.045,0.555,0.46499390134797747,0.09000609865202258
5.0,5.040504356924368,0.05,0.579,0.48210371036850946,0.0968962896314905
5.0,5.040504356924368,0.055,0.595,0.4899727034132818,0.10502729658671817
5.0,5.040504356924368,0.06,0.611,0.4954722564642698,0.1155277435357302
5.0,5.040504356924368,0.065,0.613,0.5009718095152578,0.11202819048474222
5.0,5.040504356924368,0.07,0.629,0.5064713625662458,0.1225286374337542
5.0,5.040504356924368,0.075,0.619,0.507767107585182,0.11123289241481804
