series,target_rabi_mhz,actual_rabi_mhz,detuning_mhz,excited_probability
current_echo_experiment,25.0,,-0.13,0.496
current_echo_experiment,25.0,,-0.125,0.48
current_echo_experiment,25.0,,-0.12,0.472
current_echo_experiment,25.0,,-0.115,0.466
current_echo_experiment,25.0,,-0.11,0.489
current_echo_experiment,25.0,,-0.105,0.46
current_echo_experiment,25.0,,-0.1,0.458
current_echo_experiment,25.0,,-0.095,0.456
current_echo_experiment,25.0,,-0.09,0.445
current_echo_experiment,25.0,,-0.085,0.448
current_echo_experiment,25.0,,-0.08,0.44
current_echo_experiment,25.0,,-0.075,0.445
current_echo_experiment,25.0,,-0.07,0.458
current_echo_experiment,25.0,,-0.065,0.437
current_echo_experiment,25.0,,-0.06,0.42
current_echo_experiment,25.0,,-0.055,0.4
current_echo_experiment,25.0,,-0.05,0.432
current_echo_experiment,25.0,,-0.045,0.406
current_echo_experiment,25.0,,-0.04,0.426
current_echo_experiment,25.0,,-0.035,0.448
current_echo_experiment,25.0,,-0.03,0.428
current_echo_experiment,25.0,,-0.025,0.383
current_echo_experiment,25.0,,-0.02,0.436
current_echo_experiment,25.0,,-0.015,0.454
current_echo_experiment,25.0,,-0.01,0.423
current_echo_experiment,25.0,,-0.005,0.457
current_echo_experiment,25.0,,0.0,0.449
current_echo_experiment,25.0,,0.005,0.465
current_echo_experiment,25.0,,0.01,0.438
current_echo_experiment,25.0,,0.015,0.463
current_echo_experiment,25.0,,0.02,0.438
current_echo_experiment,25.0,,0.025,0.46
current_echo_experiment,25.0,,0.03,0.52
current_echo_experiment,25.0,,0.035,0.497
current_echo_experiment,25.0,,0.04,0.5
current_echo_experiment,25.0,,0.045,0.525
current_echo_experiment,25.0,,0.05,0.514
current_echo_experiment,25.0,,0.055,0.554
current_echo_experiment,25.0,,0.06,0.555
current_echo_experiment,25.0,,0.065,0.545
current_echo_experiment,25.0,,0.07,0.604
current_echo_experiment,25.0,,0.075,0.576
current_echo_experiment,25.0,,0.08,0.542
current_echo_experiment,25.0,,0.085,0.567
current_echo_experiment,25.0,,0.09,0.597
current_echo_experiment,25.0,,0.095,0.571
current_echo_experiment,25.0,,0.1,0.572
current_echo_experiment,25.0,,0.105,0.586
current_echo_experiment,25.0,,0.11,0.593
current_echo_experiment,25.0,,0.115,0.609
current_echo_experiment,25.0,,0.12,0.567
current_echo_experiment,25.0,,0.125,0.618
current_echo_experiment,25.0,,0.13,0.6
current_echo_experiment,25.0,,0.135,0.561
current_echo_experiment,25.0,,0.14,0.562
